"","ANNY","SEXE","M_EDAT","count"
"1",1986,"Home",23,1
"2",1988,"Home",38,1
"3",1995,"Dona",89,1
"4",1996,"Dona",76.125,224
"5",1996,"Home",69.48,275
"6",1997,"Dona",76.7044198895028,362
"7",1997,"Home",69.0132978723404,376
"8",1998,"Dona",76.8005698005698,351
"9",1998,"Home",69.0140515222482,427
"10",1999,"Dona",78.1402985074627,335
"11",1999,"Home",69.3357142857143,420
"12",2000,"Dona",76.0813953488372,344
"13",2000,"Home",68.4439140811456,419
"14",2001,"Dona",75.6413043478261,368
"15",2001,"Home",69.3341121495327,428
"16",2002,"Dona",78.095652173913,345
"17",2002,"Home",70.2134570765661,431
"18",2003,"Dona",77.5670391061452,358
"19",2003,"Home",71.3828306264501,431
"20",2004,"Dona",76.741935483871,372
"21",2004,"Home",70.6610978520286,419
"22",2005,"Dona",78.3753581661891,349
"23",2005,"Home",70.4609929078014,423
"24",2006,"Dona",78.5710227272727,352
"25",2006,"Home",70.6494117647059,425
"26",2007,"Dona",78.2547945205479,365
"27",2007,"Home",69.9481641468683,463
"28",2008,"Dona",76.7845744680851,376
"29",2008,"Home",72.625,424
"30",2009,"Dona",78.2631578947368,361
"31",2009,"Home",71.3938679245283,424
"32",2010,"Dona",77.9357326478149,389
"33",2010,"Home",72.6335697399527,423
"34",2011,"Dona",78.1349206349206,378
"35",2011,"Home",72.3700234192037,427
"36",2012,"Dona",79.8807588075881,369
"37",2012,"Home",73.1682926829268,410
"38",2013,"Dona",78.8831168831169,385
"39",2013,"Home",71.5563549160671,417
"40",2014,"Dona",78.4168865435356,379
"41",2014,"Home",72.4514563106796,412
"42",2015,"Dona",77.6057441253264,383
"43",2015,"Home",73.5939675174014,431
"44",2016,"Dona",80.0416666666667,96
"45",2016,"Home",73.5686274509804,102
