"","DISTRICTE","DATA_REFERENCIA","BARRI","NACIONALITAT","SEXE","POBLACIO","perimeter","area"
"1",1,2011,"ANTIC POBLE DE SANT PERE      ","ESPANYA                       ","Dona",2,6213.4709,2250515.8709
"2",1,2011,"ANTIC POBLE DE SANT PERE      ","MARROC, EL                    ","Home",1,6213.4709,2250515.8709
"3",1,2011,"CEMENTIRI VELL                ","ALEMANYA                      ","Home",1,6213.4709,2250515.8709
"4",1,2011,"CEMENTIRI VELL                ","EQUADOR, L                    ","Home",1,6213.4709,2250515.8709
"5",1,2011,"CEMENTIRI VELL                ","ESPANYA                       ","Dona",42,6213.4709,2250515.8709
"6",1,2011,"CEMENTIRI VELL                ","ESPANYA                       ","Home",30,6213.4709,2250515.8709
"7",1,2011,"CEMENTIRI VELL                ","MARROC, EL                    ","Dona",4,6213.4709,2250515.8709
"8",1,2011,"CEMENTIRI VELL                ","PARAGUAI, EL                  ","Home",1,6213.4709,2250515.8709
"9",1,2011,"CEMENTIRI VELL                ","ROMANIA                       ","Home",1,6213.4709,2250515.8709
"10",1,2011,"CEMENTIRI VELL                ","XINA, LA                      ","Dona",1,6213.4709,2250515.8709
"11",1,2011,"CENTRE                        ","ESPANYA                       ","Home",106,6213.4709,2250515.8709
"12",1,2011,"CENTRE                        ","ITÀLIA                        ","Dona",1,6213.4709,2250515.8709
"13",1,2011,"CENTRE                        ","REGNE UNIT, EL                ","Dona",1,6213.4709,2250515.8709
"14",1,2011,"CENTRE                        ","XILE                          ","Home",1,6213.4709,2250515.8709
"15",1,2011,"CENTRE                        ","XINA, LA                      ","Dona",1,6213.4709,2250515.8709
"16",1,2011,"PL. CATALUNYA - ESC. INDUSTRIA","ESPANYA                       ","Home",23,6213.4709,2250515.8709
"17",1,2011,"PL. CATALUNYA - ESC. INDUSTRIA","ROMANIA                       ","Dona",1,6213.4709,2250515.8709
"18",1,2011,"VALLPARADÍS                   ","ALEMANYA                      ","Dona",1,6213.4709,2250515.8709
"19",1,2011,"VALLPARADÍS                   ","BOLÍVIA                       ","Home",1,6213.4709,2250515.8709
"20",1,2011,"VALLPARADÍS                   ","EQUADOR, L                    ","Dona",1,6213.4709,2250515.8709
"21",1,2011,"VALLPARADÍS                   ","PARAGUAI, EL                  ","Home",1,6213.4709,2250515.8709
"22",1,2014,"VALLPARADÍS                   ","ESPANYA                       ","Dona",18,6213.4709,2250515.8709
"23",1,2014,"VALLPARADÍS                   ","PAKISTAN, EL                  ","Home",1,6213.4709,2250515.8709
"24",1,2014,"VALLPARADÍS                   ","SENEGAL, EL                   ","Home",1,6213.4709,2250515.8709
"25",1,2011,"CENTRE                        ","PARAGUAI, EL                  ","Dona",2,6213.4709,2250515.8709
"26",1,2011,"PL. CATALUNYA - ESC. INDUSTRIA","EQUADOR, L                    ","Dona",1,6213.4709,2250515.8709
"27",1,2011,"PL. CATALUNYA - ESC. INDUSTRIA","ESPANYA                       ","Dona",22,6213.4709,2250515.8709
